lat_center,lon_center,lat_bin,lon_bin,grid_id
20.5470665,91.96924095663286,1,1,1_1
20.5470665,91.97763664540835,1,2,1_2
20.5470665,91.98603233418383,1,3,1_3
20.5470665,91.99442802295933,1,4,1_4
20.5470665,92.00282371173482,1,5,1_5
20.5470665,92.0112194005103,1,6,1_6
20.5470665,92.0196150892858,1,7,1_7
20.5470665,92.02801077806129,1,8,1_8
20.5470665,92.03640646683678,1,9,1_9
20.5470665,92.04480215561226,1,10,1_10
20.5470665,92.05319784438775,1,11,1_11
20.5470665,92.06159353316325,1,12,1_12
20.5470665,92.06998922193873,1,13,1_13
20.5470665,92.07838491071422,1,14,1_14
20.5470665,92.08678059948971,1,15,1_15
20.5470665,92.0951762882652,1,16,1_16
20.5470665,92.10357197704069,1,17,1_17
20.5470665,92.11196766581618,1,18,1_18
20.5470665,92.12036335459166,1,19,1_19
20.5470665,92.12875904336715,1,20,1_20
20.5470665,92.13715473214265,1,21,1_21
20.5470665,92.14555042091814,1,22,1_22
20.5470665,92.15394610969362,1,23,1_23
20.5470665,92.16234179846911,1,24,1_24
20.5470665,92.17073748724461,1,25,1_25
20.5470665,92.17913317602009,1,26,1_26
20.5470665,92.18752886479558,1,27,1_27
20.5470665,92.19592455357107,1,28,1_28
20.5470665,92.20432024234655,1,29,1_29
20.5470665,92.21271593112205,1,30,1_30
20.5470665,92.22111161989754,1,31,1_31
20.5470665,92.22950730867304,1,32,1_32
20.5470665,92.23790299744851,1,33,1_33
20.5470665,92.24629868622401,1,34,1_34
20.5470665,92.2546943749995,1,35,1_35
20.5470665,92.26309006377498,1,36,1_36
20.5470665,92.27148575255048,1,37,1_37
20.5470665,92.27988144132597,1,38,1_38
20.5470665,92.28827713010145,1,39,1_39
20.5470665,92.29667281887694,1,40,1_40
20.5470665,92.30506850765244,1,41,1_41
20.5470665,92.31346419642792,1,42,1_42
20.5470665,92.32185988520341,1,43,1_43
20.5470665,92.3302555739789,1,44,1_44
20.5470665,92.3386512627544,1,45,1_45
20.5470665,92.34704695152988,1,46,1_46
20.5470665,92.35544264030537,1,47,1_47
20.5470665,92.36383832908086,1,48,1_48
20.5470665,92.37223401785634,1,49,1_49
20.5470665,92.38062970663184,1,50,1_50
20.5470665,92.38902539540733,1,51,1_51
20.5470665,92.39742108418281,1,52,1_52
20.5470665,92.4058167729583,1,53,1_53
20.5470665,92.4142124617338,1,54,1_54
20.5470665,92.42260815050928,1,55,1_55
20.5560595,91.96924095663286,2,1,2_1
20.5560595,91.97763664540835,2,2,2_2
20.5560595,91.98603233418383,2,3,2_3
20.5560595,91.99442802295933,2,4,2_4
20.5560595,92.00282371173482,2,5,2_5
20.5560595,92.0112194005103,2,6,2_6
20.5560595,92.0196150892858,2,7,2_7
20.5560595,92.02801077806129,2,8,2_8
20.5560595,92.03640646683678,2,9,2_9
20.5560595,92.04480215561226,2,10,2_10
20.5560595,92.05319784438775,2,11,2_11
20.5560595,92.06159353316325,2,12,2_12
20.5560595,92.06998922193873,2,13,2_13
20.5560595,92.07838491071422,2,14,2_14
20.5560595,92.08678059948971,2,15,2_15
20.5560595,92.0951762882652,2,16,2_16
20.5560595,92.10357197704069,2,17,2_17
20.5560595,92.11196766581618,2,18,2_18
20.5560595,92.12036335459166,2,19,2_19
20.5560595,92.12875904336715,2,20,2_20
20.5560595,92.13715473214265,2,21,2_21
20.5560595,92.14555042091814,2,22,2_22
20.5560595,92.15394610969362,2,23,2_23
20.5560595,92.16234179846911,2,24,2_24
20.5560595,92.17073748724461,2,25,2_25
20.5560595,92.17913317602009,2,26,2_26
20.5560595,92.18752886479558,2,27,2_27
20.5560595,92.19592455357107,2,28,2_28
20.5560595,92.20432024234655,2,29,2_29
