CS_ID,District,Upazila,union,lon,lat,Shelter Name (English),DRRO Capacity,go_code,area,latitude,longitude,male_pop,female_pop,literacy_rate
cs_124,cox's bazar,ukhiya,raja palong,92.16182393,21.22225503,kutupalong govt. primary school,350.0,,,,,,,
cs_125,cox's bazar,ukhia,raja palong,92.1618535,21.2230154,kutupalong high school,2500.0,,,,,,,
cs_126,cox's bazar,ukhiya,raja palong,92.1147,21.26145,middle rajapalong govt. primary school,350.0,,,,,,,
cs_127,cox's bazar,ukhiya,raja palong,92.1589,21.26253,purbadigalia govt. primary school,900.0,,,,,,,
cs_128,cox's bazar,ukhia,raja palong,92.12570766,21.25507411,rajapalong fajil madrasha,2500.0,,,,,,,
cs_129,cox's bazar,ukhia,raja palong,92.1141,21.261,razapalong a.k.c. high school,2500.0,,,,,,,
cs_130,cox's bazar,ukhia,raja palong,92.1571,21.24115,ukhia degree college,2500.0,,,,,,,
cs_131,cox's bazar,ukhia,raja palong,92.131176,21.249638,ukhia girls high school,2500.0,,,,,,,
cs_132,cox's bazar,ukhia,raja palong,92.1376093,21.2459253,ukhia multipurpose high school,2500.0,,,,,,,
cs_133,cox's bazar,ukhiya,raja palong,92.1333,21.24595,ukhia model govt. primary school,400.0,,,,,,,
cs_134,cox's bazar,ukhiya,raja palong,92.1408298,21.2372887,foliapara govt. primary school,400.0,,,,,,,
cs_135,cox's bazar,ukhiya,raja palong,92.1437206,21.240081,ni chowdhuri bm college,800.0,,,,,,,
cs_136,cox's bazar,teknaf,teknaf paurashava,92.295583,20.860765,abul kashem nurjahan chowdhury high school,250.0,,,,,,,
cs_137,cox's bazar,ukhia,raja palong,92.17033972,21.23617397,arobindu borua govt. primary school,2500.0,,,,,,,
cs_138,cox's bazar,ukhiya,raja palong,92.12621737,21.25574154,baitus sharaf adarsha shah jabbaria girls' dakhil madrasa,250.0,,,,,,,
cs_140,cox's bazar,ukhiya,raja palong,92.15923584,21.24856296,dorgahil govt. primary school,350.0,,,,,,,
cs_141,cox's bazar,ukhiya,ratna palong,92.14483957,21.26744247,goyalmara govt. primary school,400.0,,,,,,,
cs_142,cox's bazar,ukhia,ratna palong,92.14363645,21.26737997,goyalmara madrasha,2500.0,,,,,,,
cs_143,cox's bazar,ukhia,haldia palong,92.0833675,21.298656,guraiar dip,2500.0,,,,,,,
cs_144,cox's bazar,ukhia,haldia palong,92.14344935,21.30632774,holdia patarbari govt. primary school,2500.0,,,,,,,
cs_145,cox's bazar,ukhiya,jalia palong,92.08691588,21.27674402,jaliapalong govt. primary school,400.0,,,,,,,
cs_146,cox's bazar,ukhia,ratna palong,92.15883492,21.2745888,koroibunia govt. primary school,2500.0,,,,,,,
cs_148,cox's bazar,ukhiya,palong khali,92.16086413,21.16651482,rohomter bill dakhil madrasha,325.0,,,,,,,
cs_149,cox's bazar,ukhiya,raja palong,92.13648701,21.25847122,sheikder bill govt. primary school,400.0,,,,,,,
cs_150,cox's bazar,ukhia,haldia palong,92.09201152,21.28731744,syed bokht chemon high school,2500.0,,,,,,,
cs_151,cox's bazar,ukhia,raja palong,92.14879354,21.25125387,taipalong dakhil madrasha,2500.0,,,,,,,
cs_152,cox's bazar,ukhia,ratna palong,92.13067244,21.2892257,telipara,2500.0,,,,,,,
cs_153,cox's bazar,ukhia,palong khali,92.15707397,21.17049145,thaingkhali dakhil madrasha,2500.0,,,,,,,
cs_154,cox's bazar,ukhia,raja palong,92.10355954,21.26383642,tuturbil govt. primary school,2500.0,,,,,,,
cs_155,cox's bazar,ukhia,haldia palong,92.13281043,21.33263337,uttar borobil thimchori govt. primary school,2500.0,,,,,,,
cs_156,cox's bazar,ukhiya,raja palong,92.12458301,21.26844534,uttor pukuria govt. primary school,350.0,,,,,,,
cs_158,cox's bazar,ukhiya,palong khali,92.13702031,21.15545749,hazi guramia cyclone shelter cum gps (mochorkhali),320.0,,,,,,,
cs_161,cox's bazar,ukhiya,raja palong,92.12492387,21.25489501,raja palong cyclone shelter cum gps,350.0,,,,,,,
cs_162,cox's bazar,ukhiya,palong khali,92.12007463,21.16902591,telkhola cyclone shelter cum gps,700.0,,,,,,,
cs_163,cox's bazar,teknaf,teknaf sadar,92.305,20.874,border guard public school and  cyclone shelter,800.0,,,,,,,
cs_164,cox's bazar,teknaf,teknaf sadar,92.258448,20.883555,hatir ghona cyclone shelter,600.0,,,,,,,
cs_165,cox's bazar,teknaf,st. martin dwip,92.3165,20.6325,paschim para cyclone shelter,1500.0,,,,,,,
cs_27,cox's bazar,teknaf,teknaf paurashava,92.30412279,20.86460024,jaliapara govt. primary school,2500.0,,,,,,,
cs_39,cox's bazar,teknaf,teknaf paurashava,92.29571957,20.87486366,maimuna govt. primary school,2500.0,,,,,,,
cs_49,cox's bazar,teknaf,teknaf paurashava,92.28330931,20.8657398,pallanpara govt. primary school,2000.0,,,,,,,
cs_63,cox's bazar,teknaf,teknaf paurashava,92.29901667,20.86828333,teknaf burmise govt. primary school,2500.0,,,,,,,
cs_64,cox's bazar,teknaf,teknaf paurashava,92.29728333,20.8589,teknaf college,2500.0,,,,,,,
cs_65,cox's bazar,teknaf,teknaf paurashava,92.2967,20.87253333,teknaf ezahar high school,2500.0,,,,,,,
cs_66,cox's bazar,teknaf,teknaf paurashava,92.29603333,20.8603,teknaf model govt.primary school.,2500.0,,,,,,,
cs_67,cox's bazar,teknaf,teknaf paurashava,92.29561667,20.86023333,teknaf pilot high school,2500.0,,,,,,,
cs_7,cox's bazar,teknaf,st. martin's,92.319444,20.637222,majerpara cyclone center,700.0,,,,,,,
