K,alpha_r,alpha,distance,open_new,status
0,0.7144398315077909,0.5339759688989042,1.412132251705255e6,0,optimal
5,0.744859179116546,0.5608539899884747,1.346876416537005e6,5,optimal
10,0.7708345652865948,0.5877320110780452,1.3148536642687463e6,10,optimal
15,0.7937992726139075,0.6146100321676157,1.2694253155244773e6,15,optimal
20,0.8136759943252725,0.641488053257186,1.1642742660543423e6,20,optimal
25,0.8321339746334633,0.6683660743467565,1.076695443720498e6,25,optimal
30,0.8498439972509527,0.695244095436327,977223.0616054904,30,optimal
